do,-18.88726,-8.983751
now,-8.848117,4.6293645
tyrants,27.137606,0.8139074
therein,7.208314,-8.665059
than,-3.2655425,-1.0239209
example,-3.9867423,-2.6684935
decent,-0.7128863,4.8751945
distant,9.716182,22.173218
places,12.70546,20.131193
scarcely,3.2798848,2.656577
dictate,10.849004,-4.778312
hold,-19.03976,-2.3367555
into,-12.690376,-0.16463134
candid,3.5255318,6.541355
suspending,16.729864,5.5789795
stage,-10.426061,0.10827386
connections,3.972123,-22.603313
substance,4.397163,-10.192671
superior,-5.4397736,17.579653
declaring,19.852634,5.559604
ages,-11.95471,-16.489925
having,-5.390759,1.0127574
depository,-19.019234,14.7995825
british,18.219675,-20.456293
arms,-19.90315,-18.92147
erected,-6.8096747,-16.40992
political,22.437794,16.33219
rule,26.096579,15.92596
destruction,13.690975,11.712905
but,-1.810219,1.5418589
things,-17.979671,-10.049538
instituted,28.242159,19.421999
transporting,-11.583521,10.791599
dissolve,4.091413,-7.9271464
captive,14.16124,7.570693
operation,1.5967115,-18.748228
refused,16.062525,2.4583898
trade,18.259848,14.6679535
allegiance,21.6244,5.2925916
convulsions,7.010067,-14.785962
kindred,1.4381033,14.372559
over,-13.68111,-0.56493205
ravaged,12.342091,15.057353
naturalization,23.622149,10.303053
barbarous,26.304512,-3.328937
tyrant,29.100838,0.81673753
former,-24.645687,-12.383887
paralleled,6.1256666,2.5755382
such,-1.4524413,-7.5220323
whereby,6.8026567,-6.6453605
publish,-10.569921,14.696622
lands,11.940802,23.995972
protection,-29.065025,-1.992148
pressing,-19.91067,1.9252834
legislate,29.270878,20.111067
king,-0.63751024,18.536516
future,-17.737432,-4.828968
train,-17.298616,7.3436346
unacknowledged,7.424194,4.570502
correspondence,-8.658174,12.961474
usurpations,26.908998,1.4442751
history,-7.510402,-10.533611
murders,23.76751,-6.138259
armed,-16.097172,-23.704277
form,-3.74461,-6.202748
bodies,-15.676398,-13.528381
jurisdiction,27.06473,13.917611
act,0.32104325,8.007151
powers,-9.265279,19.375027
in,-10.168559,-1.8146573
judiciary,28.009716,12.682305
general,-0.2319119,-9.5581875
abolish,30.358225,20.129602
immediate,-2.4177613,-11.277645
declaration,19.411942,6.3659
from,-11.513612,-1.8397436
here,-9.181892,2.5425944
commerce,-16.312538,14.653131
conditions,4.1256313,-13.052142
appealed,29.20997,11.595393
system,0.88399,-19.640478
laws,27.648087,17.682486
and,-11.160221,-4.2712717
whenever,1.2337949,4.526849
people,-13.723258,-12.376938
honor,21.945063,7.2498274
prevent,-27.010185,1.1243079
elected,24.303932,21.446472
reduce,-26.774408,1.2769611
render,9.033422,-4.5294824
indian,18.451,-21.30866
nation,18.983543,20.124426
happiness,7.697115,16.688406
connection,3.8913345,-22.321363
away,-15.517833,0.54203284
endowed,1.5652926,13.278277
kept,-10.301891,6.949815
provide,-25.174316,-3.6006901
merciless,27.6985,-4.058689
houses,13.358541,20.516487
protecting,-29.17563,-1.2734847
judges,30.45743,12.199775
accommodation,14.151249,19.82887
officers,-16.22828,-22.722515
fortunes,1.2308464,11.239114
altering,12.651942,-5.916238
administration,22.851116,18.183155
alliances,31.96715,5.11137
called,-5.179629,6.5782466
attend,-22.762793,-7.025514
has,-6.420199,4.869128
inhabitants,13.190223,24.543278
another,-7.6129236,0.6742277
inestimable,5.8700976,6.494653
answered,-6.3091574,11.951091
when,-10.559629,5.3209367
would,-0.39130786,-0.16157568
relinquish,17.56235,2.396957
country,18.801035,20.237051
shall,7.40579,-2.8749764
absolved,17.41002,-1.3877741
hath,4.35715,20.770798
submitted,-9.525763,13.633787
made,-7.2522426,4.0901313
out,-14.192188,0.42103142
same,-4.9585643,-0.76123965
consanguinity,-8.957507,-20.151476
settlement,20.784452,13.193458
nature,7.8668604,10.395549
judge,30.391129,11.818094
taking,-17.075535,1.382325
disavow,21.280863,1.8363887
eat,-20.541971,-9.540434
good,-1.794029,4.938499
assume,3.8399446,-0.7723649
been,-7.3625736,5.5055795
unless,2.2689114,-1.4407971
utterly,10.8780775,3.9525292
opinions,-6.529499,-12.866177
insurrections,23.14921,-10.532632
pursuing,-3.8656352,-21.692707
deriving,9.829455,-5.711203
only,-4.102866,-0.43723604
may,0.36185578,-2.9517455
manly,3.9788544,8.89969
ought,7.1454444,-0.58698255
province,15.104523,22.762794
compleat,17.818838,-18.169134
wholesome,-22.358246,-4.828445
till,-12.92009,4.570903
native,-8.93924,-20.219175
compliance,1.1244435,-15.598803
this,-9.003944,1.7501023
prove,4.865078,-0.35189196
crown,-1.8972911,18.580763
becomes,-5.074819,3.492016
world,-16.390884,-3.3017356
so,-2.0005608,2.1588066
payment,-5.12321,22.52517
they,-15.597745,-9.571524
forbidden,3.8921087,13.418864
with,-11.390395,-4.1636524
others,-14.241567,-11.073065
voice,-2.7904694,11.794366
an,-7.1403203,1.463453
states,21.897154,20.371172
will,-1.2668439,-2.2392817
supreme,6.2744946,12.793802
obstructing,13.769351,-5.7537904
public,1.0131766,-10.154444
exercise,-1.307429,-13.089678
foundation,-16.144112,12.449651
object,9.911162,-8.294141
earth,3.1042712,16.857859
which,-5.115215,-1.85777
representative,-17.56449,17.533035
emigration,-31.2646,-11.868671
requires,0.28175017,-13.739635
reminded,-5.213618,11.587119
more,-11.118557,-8.572222
perfidy,20.348398,-3.9698842
sacred,4.4914374,14.497506
establishing,-19.416292,12.573012
burnt,-22.761671,4.1829414
petitions,32.362293,14.271579
facts,-6.381627,-12.752371
frontiers,13.541379,-12.515869
measures,0.27904075,-15.286242
taken,-11.326131,6.452471
enemies,26.800951,-8.818005
too,-1.2743431,2.6549385
established,-18.868164,13.737675
beyond,-9.11504,-0.12081504
united,19.946394,-19.219118
for,-12.506163,-3.8894918
rights,23.920736,11.514281
begun,-14.979109,5.912547
warfare,25.996014,-11.772874
whatsoever,5.763278,-2.400307
head,-21.17638,-17.416006
giving,-15.174636,-5.306174
after,-12.641634,6.7775636
disposed,7.193621,-8.852383
at,-11.303403,-0.15771492
systems,0.7362216,-19.82281
sexes,-10.60164,-17.584995
commit,15.33428,4.370215
petitioned,32.362682,14.276848
character,-2.9275284,8.6412115
sufferance,21.459782,0.08291911
legislative,26.807394,20.14916
refusing,16.505423,2.735943
hither,4.4060245,20.687315
indeed,3.8370767,2.1907904
tenure,-5.674817,-23.158016
humble,2.916882,10.385694
large,-9.733891,-8.042697
opposing,-15.885063,-18.389402
towns,14.06077,21.951616
high,-9.300766,-6.1632333
formidable,27.218906,-5.2344785
organizing,-21.506283,8.778368
duty,-12.961375,-21.224224
present,-5.1864185,-3.518546
exposed,-5.6812363,-9.120309
firmness,-7.0892563,16.593636
as,-5.6802044,-0.25174806
sole,-5.095471,18.178179
separate,-6.7678514,-5.008871
desolation,19.992437,-3.880837
valuable,-14.338676,-6.730558
each,-7.4380975,-4.385881
other,-10.900494,-11.358161
it,-2.9797702,1.5042633
justice,25.558681,11.314443
once,-10.2167845,5.698706
legislature,26.042181,20.628405
fit,-18.529507,-0.944403
created,-6.903523,7.8538604
legislation,27.794096,19.170298
together,-17.646595,-12.836689
savages,26.743412,-4.3291225
attention,-13.022859,-8.126704
acquiesce,9.41809,3.51062
station,-17.403984,7.6430264
obstructed,-24.242193,4.7907834
unalienable,25.497528,7.942075
is,-6.0817995,2.353183
assembled,-6.9044633,-16.461103
plundered,12.56872,13.900988
solemnly,15.17422,-0.8034649
parts,-10.816197,-6.0295954
abdicated,29.115805,1.8381428
accustomed,8.401813,4.486459
causes,6.400951,-13.248223
a,-7.317087,1.2674206
one,-6.198631,-0.1572431
offices,-15.743117,17.511723
unfit,12.389573,4.957948
bear,3.1402414,9.116776
pass,-20.363182,-2.704472
providence,5.8053064,17.33399
we,-17.161448,-8.601479
truths,8.291393,14.813928
self,5.1161947,10.798617
domestic,18.44154,15.008748
of,-10.118156,-2.6993375
whose,-3.4637332,7.568136
britain,18.521889,-19.570675
invasions,23.149174,-10.532747
affected,4.5581427,-13.064027
consent,19.243195,9.653966
god,2.5657935,16.991005
he,-23.799154,-15.506583
extend,-22.2801,-1.9252353
foreign,18.560251,16.111635
bring,-18.792543,-5.103082
mean,-0.79520756,1.1349503
forms,-3.637636,-6.2864757
many,-11.767995,-10.719545
ruler,-0.9137827,17.47707
time,-11.395582,3.2150922
