unusual,-7.908103,55.897358,-46.822357
earth,15.583636,114.03968,28.112803
desolation,-8.939184,70.75081,111.48251
allegiance,-77.16254,82.98848,-16.826239
combined,12.160748,-76.26879,6.275547
the,0.9934879,-44.607826,-35.415417
constrained,-17.286753,129.9144,-24.645435
extend,-61.900723,-49.00643,-5.3343244
savages,6.647976,68.90416,-102.30912
judge,-27.421076,88.208595,78.61084
define,-56.392014,-28.091564,3.9049146
abolishing,12.380994,42.92768,44.591454
render,-61.244534,-2.9913027,-24.427862
merciless,-115.06417,50.1673,57.98903
not,-34.091038,92.54044,-13.182442
cutting,26.088274,-56.020454,-4.5972686
world,17.526997,28.620287,-7.1898
excited,85.7704,-10.793534,-94.20766
suspended,-69.90189,-77.41255,6.649208
from,8.650702,-65.34474,-34.27683
naturalization,-59.131626,16.472342,98.248825
indian,-56.108757,126.083595,31.601921
head,69.87433,-62.379307,-8.5954685
magnanimity,-95.71433,-0.4029899,-29.441349
salaries,79.04927,33.696674,48.250725
by,3.410258,-74.10458,-19.413074
after,-56.366596,-72.346275,-12.28399
distant,-77.95608,-77.37935,57.710735
endeavoured,-30.229282,48.774,9.202902
whose,-7.437832,1.347263,-52.194683
divine,-104.91664,18.94476,-18.511164
among,-7.039238,-54.440296,70.463066
created,5.7739906,-22.327656,-39.999424
time,102.73361,-33.218624,-9.842193
country,-120.52277,-0.64598876,8.019393
should,97.06568,38.609463,-11.198862
called,30.321632,64.935555,-57.344074
unacknowledged,2.5371246,-55.072124,97.85993
abolish,2.5029788,38.428513,52.505398
petitions,-33.698574,26.573406,51.63996
denounces,-83.95432,58.797035,20.598347
exposed,1.3555505,30.761719,-103.29344
which,41.37817,-73.62716,41.889736
effect,-65.811745,-15.296364,-52.038082
contract,62.637142,-7.7949257,55.489353
abuses,-70.8071,22.440649,48.86654
justice,-99.98801,84.02472,13.790952
general,-7.5797687,-28.310694,78.05592
pressing,38.513695,-31.836227,4.3122926
dependent,13.83451,74.803375,-28.299503
burnt,4.8684688,19.268887,-121.89309
enemies,113.67076,-48.035927,41.28241
would,98.29979,31.117794,-29.669794
representation,-42.203514,-69.076385,13.098653
against,-17.606245,-52.044247,-52.947407
is,17.892996,-10.201,-101.125145
likely,113.629524,45.96462,-32.256447
mercenaries,-109.97952,40.9345,78.195305
pursuit,25.910482,20.48686,24.143167
absolved,-42.37284,43.010517,33.28073
assembled,38.051052,-120.7482,-36.018276
sexes,-107.55069,-8.693217,64.114
opinions,103.56147,-77.35189,0.20449346
records,97.57259,36.954533,23.903639
begun,32.36704,0.37491098,-0.5084624
taking,39.09437,-65.081955,-42.322563
high,27.562859,-81.0433,9.034414
destroyed,-71.72029,15.823036,-102.107475
humble,-57.573666,50.486023,-40.30078
may,106.53812,58.658096,-11.212101
petitioned,-31.16417,38.31327,57.482307
mean,101.1765,-29.980843,-59.03533
in,52.48197,53.85708,-45.413055
establishing,36.860622,0.41655323,51.567
mutually,-97.23097,-23.498335,20.868483
insurrections,-109.8111,-47.339325,46.831524
unfit,1.193249,56.74815,15.487227
pretended,-20.148632,41.49722,29.236479
instituted,22.10709,41.57587,75.25997
inestimable,-28.797743,26.531073,-36.076958
absolute,-35.670616,-39.652813,17.18908
friends,76.908066,13.251636,-94.553856
returned,-33.3147,30.461739,-116.900444
fatiguing,28.509272,87.4427,53.420246
abdicated,-120.18712,50.45672,19.204353
same,-241.937,49.694923,237.81136
interrupt,-100.3605,-51.051857,-4.4491525
that,26.654108,-100.72106,38.686943
standing,59.239178,-46.107567,-9.096029
suffer,-1.8783152,97.02334,-12.869795
assent,24.159748,76.50152,20.337996
colonies,-91.17537,-47.243534,71.57499
providence,-115.0727,7.1168857,-32.00081
its,-5.4056673,-33.212578,-23.094585
connected,18.192337,-96.60648,69.09948
nature,-16.395487,14.779821,-12.711479
parts,35.30756,-111.79612,-5.3887424
legislative,-1.7109541,53.15442,81.69554
men,131.07875,-1.2623671,12.805329
let,95.10037,-2.187989,-52.269928
